job,operation,machine,processing_time,energy_consumption
0,0,0,27,7
0,0,1,25,5
0,0,2,22,7
0,0,3,18,6
0,0,4,25,6
0,0,5,16,10
0,1,0,5,9
0,1,1,11,4
0,1,2,7,4
0,1,3,14,8
0,1,4,10,6
0,1,5,13,9
0,2,0,12,8
0,2,1,22,7
0,2,2,12,7
0,2,3,16,5
0,2,4,12,7
0,2,5,15,6
0,3,0,15,6
0,3,1,20,7
0,3,2,28,6
0,3,3,21,8
0,3,4,16,5
0,3,5,25,4
1,4,0,14,3
1,4,1,15,1
1,4,2,10,4
1,4,3,10,1
1,4,4,22,3
1,4,5,8,4
1,5,0,15,8
1,5,1,6,9
1,5,2,9,5
1,5,3,9,8
1,5,4,7,7
1,5,5,19,8
1,6,0,19,4
1,6,1,18,4
1,6,2,10,2
1,6,3,7,5
1,6,4,9,7
1,6,5,21,2
1,7,0,8,4
1,7,1,16,7
1,7,2,13,6
1,7,3,14,5
1,7,4,18,5
1,7,5,17,8
2,8,0,6,4
2,8,1,8,3
2,8,2,6,6
2,8,3,6,3
2,8,4,8,5
2,8,5,12,6
2,9,0,14,1
2,9,1,2,5
2,9,2,15,3
2,9,3,4,2
2,9,4,8,4
2,9,5,13,4
2,10,0,4,2
2,10,1,2,5
2,10,2,1,2
2,10,3,4,4
2,10,4,5,4
2,10,5,12,3
2,11,0,19,7
2,11,1,18,10
2,11,2,19,8
2,11,3,21,10
2,11,4,11,8
2,11,5,14,6
3,12,0,6,6
3,12,1,5,1
3,12,2,9,5
3,12,3,14,4
3,12,4,10,6
3,12,5,18,5
3,13,0,12,6
3,13,1,17,8
3,13,2,16,6
3,13,3,19,10
3,13,4,14,5
3,13,5,12,10
3,14,0,3,6
3,14,1,1,6
3,14,2,6,9
3,14,3,15,5
3,14,4,8,9
3,14,5,8,5
3,15,0,9,3
3,15,1,13,4
3,15,2,6,4
3,15,3,15,4
3,15,4,4,7
3,15,5,4,2
4,16,0,15,4
4,16,1,14,4
4,16,2,11,5
4,16,3,6,3
4,16,4,20,2
4,16,5,19,1
4,17,0,21,1
4,17,1,25,5
4,17,2,29,3
4,17,3,29,2
4,17,4,25,1
4,17,5,19,1
4,18,0,14,3
4,18,1,13,3
4,18,2,12,5
4,18,3,22,8
4,18,4,13,4
4,18,5,13,5
4,19,0,14,5
4,19,1,7,3
4,19,2,6,8
4,19,3,12,5
4,19,4,8,5
4,19,5,2,3
5,20,0,23,1
5,20,1,22,3
5,20,2,27,5
5,20,3,24,4
5,20,4,21,5
5,20,5,26,3
5,21,0,12,6
5,21,1,6,3
5,21,2,6,6
5,21,3,9,5
5,21,4,8,3
5,21,5,12,4
5,22,0,6,2
5,22,1,5,7
5,22,2,11,6
5,22,3,2,4
5,22,4,3,2
5,22,5,13,3
5,23,0,18,3
5,23,1,16,2
5,23,2,20,4
5,23,3,17,6
5,23,4,15,5
5,23,5,14,5
6,24,0,16,3
6,24,1,25,4
6,24,2,27,2
6,24,3,24,6
6,24,4,29,6
6,24,5,19,2
6,25,0,22,7
6,25,1,15,6
6,25,2,19,5
6,25,3,15,2
6,25,4,15,6
6,25,5,29,5
6,26,0,5,1
6,26,1,17,4
6,26,2,8,5
6,26,3,9,5
6,26,4,14,2
6,26,5,11,5
6,27,0,20,6
6,27,1,16,7
6,27,2,14,7
6,27,3,12,3
6,27,4,18,6
6,27,5,13,7
7,28,0,10,7
7,28,1,14,6
7,28,2,6,5
7,28,3,3,7
7,28,4,11,4
7,28,5,15,7
7,29,0,14,2
7,29,1,10,2
7,29,2,9,3
7,29,3,5,6
7,29,4,11,2
7,29,5,14,6
7,30,0,18,2
7,30,1,18,7
7,30,2,19,3
7,30,3,20,6
7,30,4,26,6
7,30,5,21,5
7,31,0,4,5
7,31,1,16,8
7,31,2,14,10
7,31,3,7,5
7,31,4,12,6
7,31,5,7,8
8,32,0,22,3
8,32,1,21,4
8,32,2,28,2
8,32,3,28,5
8,32,4,32,3
8,32,5,30,6
8,33,0,7,9
8,33,1,4,4
8,33,2,6,8
8,33,3,11,6
8,33,4,6,5
8,33,5,7,7
8,34,0,31,5
8,34,1,28,3
8,34,2,23,4
8,34,3,22,6
8,34,4,20,5
8,34,5,18,2
8,35,0,15,5
8,35,1,21,7
8,35,2,19,6
8,35,3,12,8
8,35,4,20,3
8,35,5,9,8
9,36,0,4,6
9,36,1,11,7
9,36,2,6,8
9,36,3,7,4
9,36,4,10,5
9,36,5,16,8
9,37,0,19,4
9,37,1,20,3
9,37,2,15,7
9,37,3,10,5
9,37,4,10,5
9,37,5,14,2
9,38,0,13,9
9,38,1,9,9
9,38,2,15,9
9,38,3,7,5
9,38,4,9,10
9,38,5,11,7
9,39,0,13,1
9,39,1,14,2
9,39,2,19,4
9,39,3,13,3
9,39,4,24,5
9,39,5,18,2
10,40,0,27,4
10,40,1,18,7
10,40,2,23,7
10,40,3,24,4
10,40,4,20,4
10,40,5,28,7
10,41,0,17,5
10,41,1,13,4
10,41,2,15,4
10,41,3,19,9
10,41,4,13,4
10,41,5,21,9
10,42,0,27,8
10,42,1,31,7
10,42,2,22,4
10,42,3,19,5
10,42,4,28,5
10,42,5,18,7
10,43,0,6,6
10,43,1,6,6
10,43,2,7,4
10,43,3,17,1
10,43,4,12,2
10,43,5,10,3
11,44,0,24,2
11,44,1,17,2
11,44,2,24,7
11,44,3,18,7
11,44,4,20,7
11,44,5,18,6
11,45,0,16,8
11,45,1,22,6
11,45,2,9,6
11,45,3,23,4
11,45,4,13,5
11,45,5,22,5
11,46,0,15,7
11,46,1,6,10
11,46,2,11,6
11,46,3,6,6
11,46,4,13,5
11,46,5,8,9
11,47,0,18,3
11,47,1,4,6
11,47,2,11,7
11,47,3,12,2
11,47,4,10,7
11,47,5,8,7
